ID,Labels,F0,F1,F2,F3,F4,Time
CDMN3E1SM007_LEC,CLa_T,152.70627,573.42085,1428.22874,2353.43743,3353.93783,0.05603
CDMN3E1SM007_LEC,COSDa_A,147.66508,549.01512,1404.21713,2210.49054,3547.16131,0.0431
CDMN3E1SM007_LEC,COBa_T,136.99798,564.01868,1323.51972,2611.42389,3519.89336,0.06034
CDMN3E1SM007_LEC,CFAa_A,143.30695,595.4744,1254.1559,2286.76878,3362.81667,0.04379
CDMN3E1SM007_LEC,CLaCFA_T,128.03627,548.27596,1353.52288,2791.43234,3742.22686,0.06034
CDMN3E1SM007_LEC,CFLa_A,137.55284,547.53892,1247.47299,2236.44888,3608.97817,0.04741
CDMN3E1SM007_LEC,CFAa_T,129.61511,596.03313,1418.36594,2039.21125,3347.17625,0.09949
CDMN3E1SM007_LEC,COsDa_T,121.51527,542.07792,1529.83397,2195.63267,3337.92191,0.06895
CDMN3E1SM007_LEC,CODCVSa_A,139.44754,523.09252,1349.77235,2346.73694,3352.79446,0.06608
CDMN3E1SM007_LEC,CVMa_A,176.92595,519.83449,1400.32901,2552.9756,3313.02135,0.06034
CDMN3E1SM007_LEC,CODaCFA_A,191.86527,494.77522,1495.73964,2638.42983,3367.93975,0.08763
CDMN3E1SM007_LEC,COBa_A,128.0309,584.16685,1276.52052,2618.09917,3570.20715,0.04759
CDMN3E1SM007_LEC,CFAa_T,127.62212,540.30032,1273.66049,2596.96168,3680.20334,0.04992
CDMN3E1SM007_LEC,COSBa_T,128.08091,629.99721,1216.34149,2746.28861,3423.28212,0.07539
CDMN3E1SM007_LEC,CFVaCNA_A,129.5323,653.33593,1404.73353,2452.17692,3508.19589,0.05241
CDMN3E1SM007_LEC,CLaCFA_T,129.39964,540.68441,1293.77863,2740.3356,3647.35746,0.06465
CDMN3E1SM007_LEC,COSDaCNA_T,185.10868,585.88227,1582.24286,2693.52808,3453.88004,0.06465
CDMN3E1SM007_LEC,CLaCFA_T,120.81866,594.49171,1463.24281,2911.95018,3664.82095,0.06608
CDMN3E1SM007_LEC,CNBa_T,125.41584,653.42793,1362.82949,2947.82559,3303.74923,0.06608
CDMN3E1SM007_LEC,COSBa_A,107.17501,523.65645,1376.98718,2836.75847,3538.8284,0.06034
CDMN3E1SM007_LEC,CLa_T,114.60707,577.16431,1235.11137,2082.47776,3530.07243,0.04597
CDMN3E1SM007_LEC,COVa_A,127.75331,562.82252,1374.04709,3315.9286,3751.79397,0.04481
CDMN3E1SM007_LEC,CNBa_T,147.16835,649.96606,1298.44304,2440.89906,3418.42033,0.06608
CDMN3E1SM007_LEC,CFPa_A,152.52959,605.36905,1643.31941,3172.27802,3674.64155,0.06177
CDMN3E1SM007_LEC,COVaCNA_T,140.00903,631.43147,1397.59238,1890.83694,3841.9918,0.07757
CDMN3E1SM007_LEC,CLaCFA_T,116.9634,566.58101,1264.96982,2898.45179,3830.19647,0.04597
CDMN3E1SM007_LEC,CODCVSaCFA_T,126.14576,501.7673,1378.73292,2369.51053,3630.46062,0.08188
CDMN3E1SM007_LEC,CNAa_A,133.72288,601.85027,1362.98522,2594.48021,3396.06819,0.0589
