state_name,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Aguascalientes,0,14,9,60,15,84,76,342,376,437,430,506,153
Baja California,0,0,0,0,0,1,86,1112,823,2,98,195,0
Baja California Sur,0,0,0,0,0,1,0,8,0,1,1,0,0
Campeche,0,0,1,2,1,2,1,14,355,124,84,17,0
Chiapas,0,0,0,128,176,137,67,284,516,112,78,41,17
Chihuahua,2,18,17,23,52,107,87,292,366,806,441,339,50
Ciudad de Mexico,0,0,0,230,373,272,536,690,51,4,1,0,0
Coahuila,0,2,16,5,7,33,45,7,26,3,8,29,0
Colima,0,0,1,2,1,27,113,322,442,123,126,276,39
Durango,0,37,37,63,30,46,77,49,116,112,65,45,9
Guanajuato,87,1232,1017,1133,238,1134,1179,1608,1974,2084,636,145,12
Guerrero,0,6,5,5,9,45,65,79,79,89,107,190,45
Hidalgo,0,11,9,31,18,104,45,128,89,120,84,6,0
Jalisco,0,13,15,16,27,63,63,245,449,91,91,35,0
Mexico,2,81,89,140,199,408,485,1224,689,1285,1210,1335,175
Michoacan,0,3,4,15,35,17,123,210,141,47,2,101,114
Morelos,0,0,0,6,15,22,59,319,190,27,66,62,17
Nayarit,0,0,0,1,3,0,1,2,7,2,0,0,0
Nuevo Leon,1,32,35,21,169,257,119,106,128,230,87,160,60
Oaxaca,0,1,1,4,18,65,56,66,3,1,0,0,0
Puebla,0,10,3,5,19,83,87,229,587,450,377,275,47
Queretaro,0,6,1,4,25,30,224,254,232,225,176,147,18
Quintana Roo,0,91,210,119,106,77,44,139,175,22,79,90,4
San Luis Potosi,0,0,0,1,0,19,5,1,1,1,0,1,0
Sinaloa,10,97,156,126,201,282,544,568,375,388,296,164,11
Sonora,0,39,29,65,52,91,140,209,73,17,79,69,1
Tabasco,0,1,1,1,8,10,1,25,56,24,21,0,0
Tamaulipas,6,34,11,140,114,260,303,342,440,71,215,0,0
Tlaxcala,0,0,1,0,0,1,3,50,13,2,0,12,0
Veracruz,0,2,6,1,14,83,97,77,242,2,0,0,0
Yucatan,0,4,13,22,61,31,41,52,69,43,43,51,6
Zacatecas,0,0,0,0,0,1,4,23,29,25,37,32,2
